cycle |       IF        |       OF        |       EX        |       WB        | event
   79 |    .    .    .  |   34    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   80 |    .    .    .  |    .    .    .  |   34    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   81 |   35    .    .  |    .    .    .  |    .    .    .  |   34    .    .  | 
   82 |    .    .    .  |   35    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   83 |    .    .    .  |    .    .    .  |   35    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   84 |   36    .    .  |    .    .    .  |    .    .    .  |   35    .    .  | 
   85 |    .    .    .  |   36    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   86 |    .    .    .  |    .    .    .  |   36    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   87 |   37    .    .  |    .    .    .  |    .    .    .  |   36    .    .  | 
   88 |    .    .    .  |   37    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   89 |    .    .    .  |    .    .    .  |   37    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   90 |   38    .    .  |    .    .    .  |    .    .    .  |   37    .    .  | 
   91 |    .    .    .  |   38    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   92 |    .    .    .  |    .    .    .  |   38    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   93 |   39    .    .  |    .    .    .  |    .    .    .  |   38    .    .  | 
   94 |    .    .    .  |   39    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   95 |    .    .    .  |    .    .    .  |   39    .    .  |    .    .    .  | HALT in EX: fetch stopped
   96 |    .    .    .  |    .    .    .  |    .    .    .  |   39    .    .  | HALT in WB: done
