cycle |       IF        |       OF        |       EX        |       WB        | event
   86 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | fetch stalled (branch in OF/EX)
   87 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   88 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   89 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | fetch stalled (branch in OF/EX)
   90 |   48   49   50  |    .    .    .  |    .    .    .  |   45   46   47  | 
   91 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
   92 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | JL taken -> 36
   93 |   36   37   38  |    .    .    .  |    .    .    .  |   48   49   50  | 
   94 |   39   40   41  |   36   37   38  |    .    .    .  |    .    .    .  | 
   95 |   42   43   44  |   39   40   41  |   36   37   38  |    .    .    .  | 
   96 |    .    .    .  |   42   43   44  |   39   40   41  |   36   37   38  | fetch stalled (branch in OF/EX)
   97 |    .    .    .  |    .    .    .  |   42   43   44  |   39   40   41  | fetch stalled (branch in OF/EX)
   98 |   45   46   47  |    .    .    .  |    .    .    .  |   42   43   44  | 
   99 |    .    .    .  |   45   46   47  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
  100 |    .    .    .  |    .    .    .  |   45   46   47  |    .    .    .  | fetch stalled (branch in OF/EX)
  101 |   48   49   50  |    .    .    .  |    .    .    .  |   45   46   47  | 
  102 |    .    .    .  |   48   49   50  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
  103 |    .    .    .  |    .    .    .  |   48   49   50  |    .    .    .  | fetch stalled (branch in OF/EX)
  104 |   51    .    .  |    .    .    .  |    .    .    .  |   48   49   50  | 
  105 |    .    .    .  |   51    .    .  |    .    .    .  |    .    .    .  | fetch stalled (branch in OF/EX)
  106 |    .    .    .  |    .    .    .  |   51    .    .  |    .    .    .  | HALT in EX: fetch stopped
  107 |    .    .    .  |    .    .    .  |    .    .    .  |   51    .    .  | HALT in WB: done
